0.2,4945,0.202195,0.282199,0.171583,3.989708,0.183294,0.121042,8.285625,
0.35,6325,0.158088,0.205086,0.163375,6.984958,0.132513,0.115,4.745042,
0.5,6123,0.163307,0.194377,0.162125,0.938542,0.130788,0.115708,0.784542,
0.65,6146,0.162696,0.180573,0.156042,1.226792,0.130087,0.115875,0.651542,
0.8,5832,0.17145,0.180466,0.156042,3.968958,0.135584,0.116125,1.398792,
0.2,3949,0.253191,0.407214,0.181334,59.633541,0.215261,0.1205,15.0325,
0.35,5491,0.182088,0.24256,0.171167,3.083458,0.149583,0.118375,2.288875,
0.5,5743,0.174101,0.208052,0.163208,1.902459,0.141088,0.117625,1.957667,
0.65,5443,0.183721,0.207035,0.159416,8.898083,0.140988,0.118125,4.101875,
0.8,5206,0.192079,0.203689,0.15925,1.877291,0.145465,0.11725,1.614542,
0.2,3670,0.272454,0.371511,0.222041,4.551166,0.247177,0.016333,3.861125,
0.35,10846,0.092192,0.213393,8.75E-4,1.9685,0.025485,0.011709,0.636458,
0.5,92987,0.010754,0.001965,8.33E-4,0.058542,0.019497,0.012375,0.073458,
0.65,121145,0.008254,0.001919,7.5E-4,0.041792,0.020019,0.011834,0.161459,
0.8,185082,0.005402,0.001824,7.5E-4,0.060833,0.019358,0.012,0.10325,
0.2,1810,0.552207,0.571393,0.223416,23.4285,0.547251,0.016042,35.58575,
